"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2019","56.80","55.46","57.40","52.59","71.19M","2.42%"
"09/22/2019","55.46","73.18","74.08","51.16","93.21M","-24.21%"
"09/15/2019","73.18","70.49","79.94","69.61","64.49M","3.81%"
"09/08/2019","70.49","68.79","72.76","67.71","53.04M","2.47%"
"09/01/2019","68.79","64.28","70.83","63.95","57.69M","7.03%"
"08/25/2019","64.27","73.29","75.05","62.31","54.73M","-12.29%"
"08/18/2019","73.27","72.69","78.76","58.55","58.09M","0.81%"
"08/11/2019","72.69","85.50","91.50","71.70","81.60M","-15.00%"
"08/04/2019","85.51","94.19","106.38","82.62","79.44M","-9.22%"
"07/28/2019","94.19","88.79","100.31","84.13","60.90M","6.07%"
"07/21/2019","88.80","100.28","101.37","87.10","65.26M","-11.44%"
"07/14/2019","100.28","101.21","105.37","76.71","112.53M","-0.92%"
"07/07/2019","101.21","118.42","124.83","95.45","77.11M","-14.54%"
"06/30/2019","118.42","133.88","136.99","112.87","83.88M","-11.54%"
"06/23/2019","133.88","142.26","143.11","111.82","89.91M","-5.89%"
"06/16/2019","142.25","137.62","145.50","128.68","75.93M","3.41%"
"06/09/2019","137.57","118.02","142.60","111.86","93.68M","16.55%"
"06/02/2019","118.04","112.36","120.57","98.58","91.55M","5.01%"
"05/26/2019","112.41","102.71","121.59","99.24","111.36M","9.44%"
"05/19/2019","102.71","86.63","104.60","85.23","113.76M","18.57%"
"05/12/2019","86.62","88.05","106.54","83.80","159.35M","-1.81%"
"05/05/2019","88.22","77.81","95.25","71.82","79.51M","13.39%"
"04/28/2019","77.81","72.22","82.34","66.77","82.81M","7.73%"
"04/21/2019","72.22","80.99","81.45","70.42","82.32M","-10.83%"
"04/14/2019","80.99","77.67","84.30","75.49","64.86M","4.27%"
"04/07/2019","77.68","92.29","95.43","75.00","63.63M","-15.85%"
"03/31/2019","92.30","60.79","97.79","60.27","104.07M","51.84%"
"03/24/2019","60.79","61.04","63.16","57.79","70.53M","-0.42%"
"03/17/2019","61.04","61.32","62.57","57.46","77.80M","-0.45%"
"03/10/2019","61.32","57.99","61.98","52.69","86.00M","5.74%"
"03/03/2019","57.99","48.62","59.52","44.98","112.29M","19.30%"
"02/24/2019","48.61","51.42","53.41","42.72","71.82M","-5.47%"
"02/17/2019","51.42","43.42","52.19","42.86","68.90M","18.43%"
"02/10/2019","43.42","44.71","47.29","40.72","61.37M","-2.88%"
"02/03/2019","44.71","34.63","46.15","32.44","60.56M","29.12%"
"01/27/2019","34.63","32.90","34.95","30.13","52.35M","5.25%"
"01/20/2019","32.90","32.08","33.86","29.66","44.19M","2.54%"
"01/13/2019","32.09","31.77","32.91","29.38","41.73M","0.98%"
"01/06/2019","31.77","34.44","40.80","31.08","44.85M","-7.74%"
"12/30/2018","34.44","30.37","35.98","29.48","22.27M","13.61%"
"12/23/2018","30.31","31.53","36.32","27.41","23.38M","-3.87%"
"12/16/2018","31.53","23.65","33.05","23.64","36.63M","33.33%"
"12/09/2018","23.65","24.39","26.81","22.61","27.45M","-3.02%"
"12/02/2018","24.39","34.20","60.67","22.36","30.59M","-28.72%"
"11/25/2018","34.21","29.67","36.31","27.67","30.19M","15.29%"
"11/18/2018","29.68","42.39","44.13","29.11","34.72M","-29.98%"
"11/11/2018","42.38","52.47","52.56","40.95","18.24M","-19.23%"
"11/04/2018","52.48","51.11","56.80","48.44","12.48M","2.66%"
"10/28/2018","51.12","52.36","52.50","48.16","15.81M","-2.38%"
"10/21/2018","52.36","54.23","54.75","50.65","17.22M","-3.44%"
"10/14/2018","54.23","54.06","61.17","51.84","15.80M","0.32%"
"10/07/2018","54.06","57.95","60.16","49.43","16.14M","-6.72%"
"09/30/2018","57.95","61.70","63.03","56.69","30.43M","-6.08%"
"09/23/2018","61.70","60.63","65.49","54.43","23.52M","1.77%"
"09/16/2018","60.63","56.43","62.61","50.62","22.28M","7.44%"
"09/09/2018","56.43","53.08","58.87","47.34","25.97M","6.30%"
"09/02/2018","53.08","66.51","69.38","52.07","21.81M","-20.19%"
"08/26/2018","66.51","57.89","67.82","55.88","21.20M","14.90%"
"08/19/2018","57.89","57.18","59.19","53.33","17.50M","1.23%"
